
2025/07/24 (13:04:42) | ===> btop++ v.1.4.0
2025/07/24 (13:04:42) | INFO: Logger set to DEBUG
2025/07/24 (13:04:42) | DEBUG: Using locale en_GB.UTF-8
2025/07/24 (13:04:42) | INFO: Running on /dev/pts/11
2025/07/24 (13:04:42) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/07/24 (13:04:42) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/07/24 (13:04:42) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/07/24 (13:04:42) | DEBUG: Shared::init() : Initialized.
2025/07/24 (13:11:42) | DEBUG: Writing new config file
2025/07/24 (13:11:42) | INFO: Quitting! Runtime: 00:07:00

2025/08/09 (02:22:56) | ===> btop++ v.1.4.0
2025/08/09 (02:22:56) | INFO: Logger set to DEBUG
2025/08/09 (02:22:56) | DEBUG: Using locale en_GB.UTF-8
2025/08/09 (02:22:56) | INFO: Running on /dev/pts/57
2025/08/09 (02:22:56) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/08/09 (02:22:56) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/08/09 (02:22:56) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/08/09 (02:22:56) | DEBUG: Shared::init() : Initialized.
2025/08/09 (02:22:56) | DEBUG: Loading theme file: /home/layz/.config/btop/themes/current.theme
