
2025/07/21 (15:41:00) | ===> btop++ v.1.4.0
2025/07/21 (15:41:00) | INFO: Logger set to DEBUG
2025/07/21 (15:41:00) | DEBUG: Using locale en_GB.UTF-8
2025/07/21 (15:41:00) | INFO: Running on /dev/pts/7
2025/07/21 (15:41:00) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/07/21 (15:41:00) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/07/21 (15:41:00) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/07/21 (15:41:00) | DEBUG: Shared::init() : Initialized.
2025/07/21 (15:41:00) | DEBUG: Loading theme file: /home/layz/.config/btop/themes/current.theme

2025/07/21 (16:01:36) | ===> btop++ v.1.4.0
2025/07/21 (16:01:36) | INFO: Logger set to DEBUG
2025/07/21 (16:01:36) | DEBUG: Using locale en_GB.UTF-8
2025/07/21 (16:01:36) | INFO: Running on /dev/pts/8
2025/07/21 (16:01:36) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/07/21 (16:01:36) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/07/21 (16:01:36) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/07/21 (16:01:36) | DEBUG: Shared::init() : Initialized.
2025/07/21 (16:01:36) | DEBUG: Loading theme file: /home/layz/.config/btop/themes/current.theme
